feature_index,feature_name,logistic_weight,rf_importance,shap_mean,logistic_rank,rf_rank,shap_rank
625,clip_dim_625,-0.18646677563946354,0.000615026242832516,0.0,604,478,2
650,clip_dim_650,-0.4837332744753833,0.0027751576280347573,0.0,740,71,2
651,clip_dim_651,-0.059379058346188944,0.0007087279147629648,0.0,468,404,2
652,clip_dim_652,0.009678105025510631,0.0005882755828087204,0.0,390,495,2
653,clip_dim_653,0.12120566806464156,0.0009060391445106004,0.0,248,290,2
654,clip_dim_654,0.2966834710964718,0.0017551631136648695,0.0,94,124,2
655,clip_dim_655,0.4385511796822845,0.002074515795495265,0.0,35,104,2
656,clip_dim_656,-0.016207728981259176,0.0007306861140382164,0.0,429,389,2
657,clip_dim_657,-0.3910258467349823,0.0014883871761335007,0.0,722,151,2
658,clip_dim_658,-0.3270916485627494,0.0033375752088534243,0.0,698,52,2
649,clip_dim_649,0.35142178153491094,0.001782413076732823,0.0,54,122,2
659,clip_dim_659,0.4417489003622045,0.0019300767613220071,0.0,33,112,2
661,clip_dim_661,0.2071659342768825,0.0009030110881326594,0.0,156,293,2
662,clip_dim_662,-0.2998903331689566,0.0011506011498137578,0.0,685,207,2
663,clip_dim_663,-0.12013573745094179,0.0008235366309863739,0.0,532,336,2
664,clip_dim_664,0.11223767085316742,0.000469318883795366,0.0,263,591,2
665,clip_dim_665,0.17796304693730217,0.0007639877974693994,0.0,188,359,2
666,clip_dim_666,0.05917730040211697,0.0003506678773463386,0.0,327,678,2
667,clip_dim_667,0.11008315972934113,0.0004916456398767701,0.0,272,578,2
668,clip_dim_668,0.12365856806704179,0.00047509320827018506,0.0,241,589,2
669,clip_dim_669,0.047570860668154094,0.0006614963803625595,0.0,341,440,2
660,clip_dim_660,0.11974913854165331,0.0003285527299538161,0.0,253,703,2
624,clip_dim_624,-0.08446764803341182,0.00045821084326640437,0.0,491,601,2
648,clip_dim_648,0.10178640504104709,0.0005824727867071158,0.0,280,498,2
646,clip_dim_646,-0.6202695615780648,0.011771350666658997,0.0,758,6,2
626,clip_dim_626,-0.028189050138350203,0.0005019241439423204,0.0,445,563,2
627,clip_dim_627,0.01985258029782007,0.0005324452958447337,0.0,377,540,2
628,clip_dim_628,-0.10512784931268425,0.000644920542780453,0.0,519,454,2
629,clip_dim_629,-0.21498733780482748,0.0014312192844515399,0.0,630,156,2
630,clip_dim_630,0.016043563097103752,0.0004002781433242224,0.0,381,648,2
631,clip_dim_631,0.03972115059644609,0.0005741651112766534,0.0,352,507,2
632,clip_dim_632,0.19029800383009096,0.000594930448494757,0.0,172,492,2
633,clip_dim_633,0.038253293690174744,0.0007535373646229975,0.0,357,366,2
634,clip_dim_634,0.20676566031319152,0.0012718293455863264,0.0,157,183,2
647,clip_dim_647,0.30164249836145424,0.0028398561530178115,0.0,90,68,2
635,clip_dim_635,0.03913880469985735,0.0010394713231510733,0.0,355,252,2
637,clip_dim_637,0.0457103094882318,0.00033950461585650064,0.0,345,693,2
638,clip_dim_638,-0.21897871717144177,0.001073497713722786,0.0,636,237,2
639,clip_dim_639,-0.21815435952113885,0.0010228980958908334,0.0,634,255,2
640,clip_dim_640,0.16961298940961944,0.0007033428016074747,0.0,199,409,2
641,clip_dim_641,-0.0023137955455895132,0.0010110935189804008,0.0,407,259,2
642,clip_dim_642,0.2531626308796109,0.0019241762386147552,0.0,117,113,2
643,clip_dim_643,-0.5647358025781993,0.009748590156707133,0.0,749,10,2
644,clip_dim_644,0.20994237785280237,0.0006238233693835697,0.0,150,470,2
645,clip_dim_645,0.26861562025525804,0.0010574182875955215,0.0,111,241,2
636,clip_dim_636,0.4720850794384824,0.001937220170660124,0.0,24,111,2
384,clip_dim_384,0.20042403390229788,0.0012095324503978591,0.0,162,195,2
767,clip_dim_767,-0.3425855445917094,0.0007675677849382933,0.0,704,355,2
382,clip_dim_382,0.2642341861016174,0.0004902413228351269,0.0,113,579,2
122,clip_dim_122,-0.2120975264768862,0.0006274362068756939,0.0,627,468,2
123,clip_dim_123,-0.10990553367973684,0.0007651530171199399,0.0,526,357,2
124,clip_dim_124,0.28961142955144487,0.001083432108517313,0.0,99,230,2
125,clip_dim_125,-0.17234184694099006,0.0007364319272859319,0.0,593,380,2
126,clip_dim_126,-0.13081349767374068,0.00041703160106063426,0.0,541,637,2
127,clip_dim_127,-0.5383630235402371,0.024214926022634788,0.0,745,2,2
128,clip_dim_128,0.09553409378759616,0.0008800215217846532,0.0,283,304,2
129,clip_dim_129,0.141889859291504,0.0007276739364214144,0.0,229,392,2
130,clip_dim_130,0.20185567221733294,0.001310370717621174,0.0,160,175,2
121,clip_dim_121,0.28395472592126375,0.0012952048151632905,0.0,103,179,2
131,clip_dim_131,0.076910945236876,0.0005644307713924617,0.0,303,517,2
133,clip_dim_133,0.2784656856956193,0.0006900194611830817,0.0,107,417,2
134,clip_dim_134,-0.14686773523276372,0.000461374713723553,0.0,563,600,2
135,clip_dim_135,-0.08739174498355665,0.0006636085756213184,0.0,496,437,2
136,clip_dim_136,-0.09483232077233,0.0006850896078710441,0.0,505,422,2
137,clip_dim_137,-0.5363001645824862,0.0009484944391449157,0.0,743,275,2
138,clip_dim_138,-0.2295564897578345,0.0003180807159707109,0.0,645,707,2
139,clip_dim_139,0.3180121476498765,0.0011469857057949402,0.0,75,209,2
140,clip_dim_140,-0.006374196594731282,0.0003255262367767107,0.0,415,704,2
141,clip_dim_141,-0.3532578732668508,0.004815433434879222,0.0,708,29,2
132,clip_dim_132,0.1332310473973978,0.00026972951607614863,0.0,236,735,2
142,clip_dim_142,-0.024532789197006716,0.0006383977546946001,0.0,440,458,2
120,clip_dim_120,0.1431074554754675,0.0005765156216957046,0.0,228,506,2
118,clip_dim_118,0.05039007594287832,0.0004348748272678658,0.0,336,621,2
98,clip_dim_98,0.24094308206650064,0.000400886558123595,0.0,124,647,2
99,clip_dim_99,0.30438831721149673,0.0005422519989597553,0.0,86,533,2
100,clip_dim_100,0.1899338132598465,0.0005354821132530412,0.0,173,536,2
101,clip_dim_101,-0.1378627889313815,0.000893571688111778,0.0,549,297,2
102,clip_dim_102,0.094201536703142,0.0006904633057600064,0.0,285,416,2
103,clip_dim_103,-0.02778049432392052,0.0004279047737144971,0.0,444,627,2
104,clip_dim_104,0.7435290788810859,0.00976854717720428,0.0,5,9,2
105,clip_dim_105,-0.11118896169440701,0.0007235644007344682,0.0,527,398,2
106,clip_dim_106,-0.3810098858081597,0.0029086285903037567,0.0,718,64,2
119,clip_dim_119,0.052719871055257536,0.000496150076238931,0.0,332,573,2
107,clip_dim_107,-0.13416977328031277,0.00043153855057502196,0.0,545,624,2
109,clip_dim_109,-0.6093570112460607,0.002925208871460931,0.0,756,63,2
110,clip_dim_110,0.07588912221954336,0.0006344558225397181,0.0,304,464,2
111,clip_dim_111,-0.2337782399297587,0.000621078241829075,0.0,651,473,2
112,clip_dim_112,0.24811977540385458,0.0005712871942674517,0.0,120,510,2
113,clip_dim_113,0.04760771753497886,0.0006421988880479721,0.0,340,456,2
114,clip_dim_114,0.18658589341659462,0.0005670619574205976,0.0,177,515,2
115,clip_dim_115,0.5384437051538222,0.005523243501804166,0.0,17,24,2
116,clip_dim_116,0.04518801396506887,0.0009036577998851275,0.0,346,292,2
117,clip_dim_117,0.10181921435477725,0.0005779580979324605,0.0,279,503,2
